Autor_Art,Autor_Ref,Decada,Num_Ref
R L Pulido,Gan F F,2010,1
R L Pulido,Mcconway K J,2010,1
R L Pulido,Hollander M,2010,1
R L Pulido,Singh K P,2010,1
R L Pulido,Penner R,2010,1
R L Pulido,Serfling R J,2010,1
A J Quiroz,Kraaikamp C,2010,1
A J Quiroz,Hand D J,2010,1
A J Quiroz,Ostrowski E,2010,1
A J Quiroz,Johnson N L,2010,1
A J Quiroz,Mathisen H C,2010,1
A J Quiroz,Penner R,2010,1
A J Quiroz,Watts D G,2010,1
A J Rios,Gan F F,2010,1
A J Rios,Guenther W C,2010,1
A J Rios,Mcconway K J,2010,1
A J Rios,Liu R Y,2010,1
A J Rios,Singh K P,2010,1
A J Rios,Mathisen H C,2010,1
A J Rios,Randles R H,2010,1
G Srinivasa Rao,Bhattacharyya G K,2010,1
G Srinivasa Rao,Gupta R D,2010,5
G Srinivasa Rao,Kundu D,2010,9
G Srinivasa Rao,Gupta R,2010,1
G Srinivasa Rao,Raqab Z M,2010,3
H Llinas,Klein M,2010,1
H M Zarate,Anderson O,2010,1
H M Zarate,Suriñach J,2010,2
H M Zarate,Hodrick R,2010,1
H M Zarate,Keane M,2010,1
H M Zarate,Knobl A,2010,1
H M Zarate,Mankiw G,2010,1
H M Zarate,Wolfers J,2010,1
H M Zarate,Pfanzagl J,2010,1
K Sanchez,Parkin M,2010,1
K Sanchez,Claveria O,2010,3
K Sanchez,Gramlich E,2010,1
K Sanchez,Hansen L,2010,2
K Sanchez,Hodrick R,2010,1
K Sanchez,Reis R,2010,1
K Sanchez,Mitchell J,2010,1
K Sanchez,Muth J,2010,1
K Sanchez,Schmidt P,2010,1
K Sanchez,Seitz H,2010,1
K Sanchez,Theil H,2010,2
M Marin,Parkin M,2010,1
M Marin,Pons E,2010,2
M Marin,Gramlich E,2010,1
J C Alonso Cifuentes,Berggrun L,2010,1
J C Alonso Cifuentes,Brooks C,2010,1
J C Alonso Cifuentes,Rivera D M,2010,1
M Serna Cortes,Andersen T G,2010,1
M Serna Cortes,Dowd K,2010,1
M Serna Cortes,Glosten L,2010,1
M Serna Cortes,Chinpiao L,2010,1
M Serna Cortes,Kupiec P H,2010,1
M Serna Cortes,Nocera J,2010,1
J C Sosa,Maechler M,2010,1
J C Sosa,Guo W,2010,1
L G Diaz,Maechler M,2010,1
K Tahata,Read T R C,2010,1
K Tahata,Lawal H B,2010,1
K Kozai,Fienberg S E,2010,1
K Kozai,Read T R C,2010,1
K Kozai,Miyamoto N,2010,2
K Kozai,Tomizawa S,2010,6
K Kozai,Seo T,2010,1
O C Usuga,Aigner D J,2010,1
O C Usuga,Kapteyn A,2010,1
O C Usuga,Zhu C,2010,1
O C Usuga,Chang Y P,2010,1
O C Usuga,Chatterjee E,2010,1
O C Usuga,Van Ness J W,2010,1
O C Usuga,Deistler M,2010,1
O C Usuga,Geman S,2010,1
O C Usuga,Hinkley D V,2010,1
O C Usuga,Kiuchi A S,2010,1
O C Usuga,Hartigan J A,2010,1
O C Usuga,Stevens C E,2010,1
O C Usuga,Malinvaud E,2010,1
F Hernandez,Aigner D J,2010,1
F Hernandez,Wansbeek T J,2010,1
F Hernandez,Smith A F M,2010,2
F Hernandez,Hartigan J A,2010,1
F Hernandez,Malinvaud E,2010,1
F Hernandez,Reiersol O,2010,1
Z Hussain,Ahart A M,2010,1
Z Hussain,Sackett P R,2010,1
Z Hussain,Bjorner J B,2010,2
Z Hussain,Mukherjee R,2010,2
Z Hussain,Dalton D R,2010,4
Z Hussain,Daily C M,2010,1
Z Hussain,Droitcour J A,2010,5
Z Hussain,Hubbard M L,2010,4
Z Hussain,Chow L P,2010,2
Z Hussain,Maclean R,2010,1
Z Hussain,Tracy D,2010,2
Z Hussain,Hirai Y,2010,1
Z Hussain,Ono S,2010,1
Z Hussain,Warner S L,2010,2
E A Shah,Biemer P P,2010,1
E A Shah,Kosinski M,2010,2
E A Shah,Mukherjee R,2010,1
E A Shah,Metzger M B,2010,1
E A Shah,Wimbush J C,2010,2
E A Shah,Casper R A,2010,2
E A Shah,Visscher W,2010,1
E A Shah,Geurts M D,2010,2
E A Shah,Martin M,2010,1
E A Shah,Tracy D,2010,1
E A Shah,Mangat N,2010,1
E A Shah,Tsuchiya T,2010,2
J Shabbir,Ware J E,2010,2
J Shabbir,Schuepfer G,2010,1
J Shabbir,Frutiger A,2010,1
J Shabbir,Parsley T L,2010,2
J Shabbir,Lessler Jonsson M,2010,2
J Shabbir,Hume E C,2010,2
J Shabbir,Chow L P,2010,2
J Shabbir,Reinmuth J E,2010,2
J Shabbir,Ono S,2010,1
F G Guerrero,Barnard Iii G,2010,1
F G Guerrero,Cover T M,2010,1
F G Guerrero,King R,2010,1
F G Guerrero,Michel J,2010,1
F G Guerrero,Aiden A,2010,1
F G Guerrero,Veres A,2010,1
F G Guerrero,Team T G B,2010,1
F G Guerrero,Clancy D,2010,1
F G Guerrero,Orwant J,2010,1
F G Guerrero,Pinker S,2010,1
F G Guerrero,Teahan W,2010,1
J R Pereira,Akaike H A,2010,1
J R Pereira,Azzalini A,2010,2
J R Pereira,Prates M O,2010,1
J R Pereira,Dempster A P,2010,1
J R Pereira,Rubin D B,2010,2
J R Pereira,Ingrassia S,2010,3
J R Pereira,Tibshirani R J,2010,1
J R Pereira,Ho H J,2010,1
J R Pereira,Xekalaki E,2010,1
J R Pereira,Hsieh W J,2010,1
J R Pereira,Mclachlan G J,2010,3
J R Pereira,Nityasuddhi D,2010,1
J R Pereira,Böhning D,2010,1
J R Pereira,Ozeki T,2010,1
J R Pereira,Shoham S,2010,2
J R Pereira,Yao W,2010,1
L A Marques,H,2010,1
L A Marques,Bai Z D,2010,1
L A Marques,Govaert G,2010,2
L A Marques,Prates M O,2010,1
L A Marques,Dempster A P,2010,1
L A Marques,Dias J G,2010,1
L A Marques,Diciccio J T,2010,1
L A Marques,Rocci R,2010,1
L A Marques,Ozeki T,2010,1
J M Da Costa,Bai Z D,2010,1
J M Da Costa,Basso R M,2010,1
J M Da Costa,Rubin D B,2010,2
J M Da Costa,Lin T I,2010,6
J M Da Costa,Rocci R,2010,1
J M Da Costa,Yao W,2010,1
J R Tovar,Hamrah E,2010,1
J R Tovar,Best N G,2010,2
J R Tovar,Vines S,2010,1
J R Tovar,Smith D W,2010,1
J R Tovar,Lunn A D,2010,1
J A Achcar,Hamrah E,2010,1
J A Achcar,Amblard C,2010,3
J A Achcar,Catalona W,2010,1
J A Achcar,Vacek P,2010,1
M Mahdizadeh,Al Omari A I,2010,1
M Mahdizadeh,Chen Z,2010,1
M Mahdizadeh,Bai Z D,2010,1
M Mahdizadeh,Choi B,2010,1
M Mahdizadeh,Pflughoeft K,2010,1
M Mahdizadeh,Grzegorzewski P,2010,3
M Mahdizadeh,Mahdizadeh M,2010,7
M Mahdizadeh,Mcintyre G A,2010,3
M Mahdizadeh,Tian L,2010,3
M Marozzi,Johnson M E,2010,1
M Marozzi,Cucconi O,2010,1
M Marozzi,Hand D J,2010,1
M Marozzi,Hollander M,2010,1
M Marozzi,Wolfe D A,2010,1
M Marozzi,Pesarin F,2010,2
M Marozzi,Salmaso S,2010,1
R Giraldo,Hong M,2010,1
R Giraldo,Delicado P,2010,3
R Giraldo,Goulard M,2010,1
R Giraldo,Ramsay J O,2010,4
R Giraldo,Matlab,2010,1
R Giraldo,Myers D,2010,1
R Giraldo,Monestiez P,2010,1
J Mateu,Mallick B,2010,1
J Mateu,Lupton J,2010,1
J Mateu,Jenkins G M,2010,1
J Mateu,Mateu J,2010,3
J Mateu,Vieu P,2010,1
J Mateu,Matlab,2010,1
J Mateu,Nerini D,2010,1
J Mateu,Monestiez P,2010,1
J Mateu,Graves S,2010,2
J Mateu,Staicu A,2010,1
J Mateu,Carroll R J,2010,1
J Mateu,Yamanishi Y,2010,1
P Delicado,Baladandayuthapani V,2010,1
P Delicado,Lupton J,2010,1
P Delicado,Turner N,2010,1
P Delicado,Caroll R,2010,1
P Delicado,Jenkins G M,2010,1
P Delicado,Delicado P,2010,3
P Delicado,Giraldo R,2010,4
P Delicado,Ferraty F,2010,1
P Delicado,Goulard M,2010,1
P Delicado,R Development Core Team,2010,1
P Delicado,Wickham H,2010,1
R Nayak,Ahmed M S,2010,1
R Nayak,Basu D,2010,1
R Nayak,Singh H P,2010,4
R Nayak,Zacks S,2010,1
R Nayak,Dobson A J,2010,1
R Nayak,Horvitz D G,2010,1
R Nayak,Thompson D J,2010,1
R Nayak,Jhajj H S,2010,3
R Nayak,Sharma M K,2010,1
R Nayak,Kadilar C,2010,2
R Nayak,Murthy M N,2010,1
R Nayak,Torrie J H,2010,1
L Sahoo,Dobson A J,2010,1
L Sahoo,Chiara T,2010,1
L Sahoo,Srivastava S K,2010,3
S Ocampo,Giannini C,2010,1
S Ocampo,Lubrano M,2010,1
S Ocampo,Richard J F,2010,1
S Ocampo,Carta A,2010,1
S Ocampo,Harrison A,2010,1
S Ocampo,Canova F,2010,3
S Ocampo,Eraker B,2010,1
S Ocampo,Geman S,2010,1
S Ocampo,Kadiyala K R,2010,1
S Ocampo,Karlsson S,2010,1
S Ocampo,Kilian L,2010,1
S Ocampo,King T B,2010,1
S Ocampo,Lee M D,2010,1
S Ocampo,Sims C A,2010,2
S Ocampo,Zha T,2010,1
S Ocampo,Zellner A,2010,1
N Rodriguez,Amisano G,2010,1
N Rodriguez,Blanchard O J,2010,1
N Rodriguez,Harrison A,2010,1
N Rodriguez,Eichenbaum M,2010,1
N Rodriguez,Jeffreys S H,2010,1
N Rodriguez,Kilian L,2010,1
N Rodriguez,Lütkepohl H,2010,2
N Rodriguez,Nicholls D F,2010,1
N Rodriguez,Sims C A,2010,2
N Rodriguez,Zha T,2010,1
V Leiva,Bliss C I,2010,1
V Leiva,Borders B,2010,1
V Leiva,Ferreira M A,2010,3
V Leiva,Gomes M,2010,3
V Leiva,García Güemes C,2010,1
V Leiva,Montero G,2010,1
V Leiva,Guiraud P,2010,1
V Leiva,Johnson N,2010,3
V Leiva,Lenhart J,2010,1
V Leiva,Puumalinen J,2010,1
V Leiva,Parresol B,2010,1
V Leiva,Trasobares A,2010,1
V Leiva,Santelices R,2010,1
M G Ponce,Dell T,2010,1
M G Ponce,Birnbaum Z M,2010,2
M G Ponce,Souter R,2010,1
M G Ponce,Ware K,2010,1
M G Ponce,Clutter J,2010,2
M G Ponce,Bennett F,2010,1
M G Ponce,Gomes M,2010,1
M G Ponce,Cañadas N,2010,1
M G Ponce,Gavrilov L,2010,1
M G Ponce,Fierro R,2010,1
M G Ponce,Kotz S,2010,1
M G Ponce,Sanhueza A,2010,3
M G Ponce,Little S,2010,1
M G Ponce,Mcewen R,2010,1
M G Ponce,Parresol B,2010,1
M G Ponce,Meyer H,2010,1
M G Ponce,Podlaski R,2010,2
M G Ponce,Geary D,2010,1
M G Ponce,Rollinson T,2010,1
C Marchant,Azevedo C,2010,3
C Marchant,V Leiva,2010,31
C Marchant,Athayde E,2010,4
C Marchant,Bailey R A,2010,2
C Marchant,Montero G,2010,1
C Marchant,Gavrilov L,2010,1
C Marchant,Kotz S,2010,2
C Marchant,Lenhart J,2010,1
C Marchant,Li F,2010,1
C Marchant,Zhang L,2010,1
C Marchant,Maltamo M,2010,1
C Marchant,Päivinen R,2010,1
C Marchant,De Benítez C,2010,1
C Marchant,Rennolls K,2010,2
C Marchant,Santelices R,2010,1
C Marchant,Santana L,2010,1
C Marchant,Wang M C,2010,1
C Marchant,Murphy P,2010,1
O Bustos,Birnbaum Z M,2010,2
O Bustos,Gavrilov L,2010,1
C M Lopera,Zheng M,2010,1
R L Pulido,Kotz S,2010,1
G Srinivasa Rao,Kantan R R L,2010,1
J C Alonso Cifuentes,Berument H,2010,1
Z Hussain,Waeckerlin A,2010,1
Z Hussain,Casper R A,2010,4
E A Shah,Warner S L,2010,1
J Shabbir,Miller J D,2010,1
J R Pereira,Celeux G,2010,2
J M Da Costa,Mclachlan G J,2010,3
M Mahdizadeh,Gokhale K D,2010,1
R Giraldo,Vieu P,2010,1
R Giraldo,Tanaka Y,2010,1
J Mateu,Caroll R,2010,1
C Marchant,Sanhueza D,2010,1
C Marchant,Mcewen R,2010,1
C Marchant,Podlaski R,2010,2
P Delicado,Mallick B,2010,1
S Ocampo,Chen M H,2010,1
O Bustos,Marchant C,2010,2
O Bustos,Barros M K,2010,1
O Bustos,Angulo J M,2010,1
O Bustos,Vilca F,2010,3
O Bustos,Puumalinen J,2010,1
O Bustos,Rennolls K,2010,2
O Bustos,Geary D,2010,1
O Bustos,Wang M C,2010,1
V Salinas,Ebrahimi N,2010,1
V Salinas,Huang Y L,2010,1
V Salinas,Nelder J A,2010,1
V Salinas,Vaquera Huerta H,2010,2
V Salinas,Kinaci I,2010,1
V Salinas,S,2010,1
V Salinas,Stephens M A,2010,1
V Salinas,Liu L F,2010,1
V Salinas,Wang W M,2010,1
P Perez,Castro-Kuriss C,2010,1
P Perez,Pérez-Rodríguez P,2010,1
P Perez,Vaquera Huerta H,2010,2
P Perez,Cheng L D,2010,1
E Gonzalez,Chen W,2010,1
E Gonzalez,Meier P,2010,1
E Gonzalez,Lim J,2010,1
E Gonzalez,Lin C T,2010,1
E Gonzalez,Park D H,2010,1
E Gonzalez,Kundu D,2010,1
E Gonzalez,Song K S,2010,1
E Gonzalez,Xia Z P,2010,1
E Gonzalez,Yu J Y,2010,1
H Vaquera,Balakrishnan N,2010,2
H Vaquera,Ebrahimi N,2010,1
H Vaquera,Huang Y L,2010,1
H Vaquera,Nelder J A,2010,1
H Vaquera,Mead R,2010,1
H Vaquera,S,2010,1
C A Martinez,Meyer K,2010,5
C A Martinez,Arango J A,2010,1
C A Martinez,Robins K R,2010,1
C A Martinez,Kim H C,2010,1
C A Martinez,Choi S B,2010,1
C A Martinez,Kemp R A,2010,1
C A Martinez,Smith H Fairfield,2010,1
C A Martinez,Famula T R,2010,1
C A Martinez,Ball A J,2010,1
C A Martinez,Hassen A,2010,1
C A Martinez,Littell R C,2010,1
C A Martinez,Lynch M,2010,1
C A Martinez,Mirzaei H R,2010,1
C A Martinez,Pitchford W S,2010,1
C A Martinez,Williams J L,2010,1
M Elzo,Cundiff L V,2010,2
M Elzo,Van Vleck L D,2010,2
M Elzo,Tsuruta S,2010,2
M Elzo,Choy Y H,2010,1
M Elzo,Famula T R,2010,1
M Elzo,Hassen A,2010,1
M Elzo,Wilson D E,2010,2
M Elzo,Manrique C,2010,1
M Elzo,Wolfinger R D,2010,1
M Elzo,Koch R M,2010,1
M Elzo,Brigham B W,2010,1
M Elzo,Stewart J,2010,1
M Elzo,Williams J L,2010,1
C Manrique,Bertrand J K,2010,4
C Manrique,Robins K R,2010,1
C Manrique,Bolívar D M,2010,1
C Manrique,Elzo M A,2010,4
C Manrique,Choi J G,2010,1
C Manrique,Famula T R,2010,1
C Manrique,Fischer T M,2010,1
C Manrique,Van Der Werf J H J,2010,1
C Manrique,Ball A J,2010,1
C Manrique,Gilmour A R,2010,1
C Manrique,Jiménez J A,2010,1
C Manrique,Martínez C A,2010,1
C Manrique,Kempthorne Oscar,2010,1
C Manrique,Bulmer M,2010,1
C Manrique,Walsh B,2010,1
C Manrique,Mercadante M E Z,2010,1
C Manrique,Pinheiro T R,2010,1
C Manrique,Bonilha S F M,2010,1
C Manrique,Branco R H,2010,1
C Manrique,Verbyla A P,2010,1
C Manrique,Pitchford W S,2010,1
C Manrique,Nobre P R C,2010,1
C Manrique,Enns R M,2010,1
C Manrique,Stewart J,2010,1
C Manrique,Van Soest P J,2010,1
C Manrique,Aguilar I,2010,1
L F Grajalies,Ramírez E J,2010,1
L F Grajalies,Choy Y H,2010,1
L F Grajalies,Kim H C,2010,1
L F Grajalies,Choi J G,2010,1
L F Grajalies,Crews D H,2010,1
L F Grajalies,Famula T R,2010,1
L F Grajalies,Hassen A,2010,1
L F Grajalies,Manrique C,2010,1
L F Grajalies,Kirkpatrick M,2010,1
L F Grajalies,Lofsvold D,2010,1
L F Grajalies,Milliken G A,2010,1
L F Grajalies,Walsh B,2010,1
L F Grajalies,El Faro L,2010,1
L F Grajalies,Bonilha S F M,2010,1
L F Grajalies,Mirzaei H R,2010,1
L F Grajalies,Nobre P R C,2010,1
L F Grajalies,Koch R M,2010,1
L F Grajalies,Koohmaraie M,2010,1
L F Grajalies,Brigham B W,2010,1
L F Grajalies,Van Soest P J,2010,1
L F Grajalies,Rekaya R,2010,1
A Jimenez,Albuquerque L G,2010,1
A Jimenez,Bertrand J K,2010,4
A Jimenez,Misztal I,2010,3
A Jimenez,Choi S B,2010,1
A Jimenez,Hwang J M,2010,1
A Jimenez,Draper N R,2010,1
A Jimenez,Famula T R,2010,1
A Jimenez,Van Der Werf J H J,2010,1
A Jimenez,Banks R G,2010,1
A Jimenez,Gilmour A R,2010,1
A Jimenez,Kirkpatrick M,2010,1
A Jimenez,Bulmer M,2010,1
A Jimenez,Schabenberger O,2010,1
A Jimenez,Walsh B,2010,1
A Jimenez,El Faro L,2010,1
A Jimenez,Silva L O C,2010,1
A Jimenez,Koohmaraie M,2010,1
A Jimenez,Enns R M,2010,1
C M Lopera Gomez,Jaramillo-Elorza M C,2010,1
C M Lopera Gomez,Lopera F,2010,1
C M Lopera Gomez,Kaplan E L,2010,1
C M Lopera Gomez,D’Agostinho R,2010,1
C M Lopera Gomez,Petersen R C,2010,1
C M Lopera Gomez,Ganguli P M,2010,1
C M Lopera Gomez,Reisberg B,2010,1
M C Jaramillo Elorza,Acosta-Baena N,2010,1
M C Jaramillo Elorza,Jaramillo-Elorza M C,2010,1
M C Jaramillo Elorza,Moreno S,2010,1
M C Jaramillo Elorza,Lopera F,2010,1
M C Jaramillo Elorza,Dorey F J,2010,2
M C Jaramillo Elorza,Meier P,2010,2
M C Jaramillo Elorza,Escobar L A,2010,3
M C Jaramillo Elorza,Odell P,2010,2
M C Jaramillo Elorza,Dekosky S T,2010,1
M C Jaramillo Elorza,Peto R,2010,2
M C Jaramillo Elorza,Franssen E,2010,1
M C Jaramillo Elorza,Wegiel J,2010,1
M C Jaramillo Elorza,De Leon M J,2010,1
M C Jaramillo Elorza,Rucker G,2010,2
N Acosta Baena,Acosta-Baena N,2010,1
N Acosta Baena,Little R J A,2010,1
N Acosta Baena,Schenker N,2010,1
N Acosta Baena,Efron B,2010,1
N Acosta Baena,Hougaard P,2010,1
N Acosta Baena,Iceland J,2010,1
N Acosta Baena,Meier P,2010,1
N Acosta Baena,Petersen R C,2010,1
N Acosta Baena,Tangalos E G,2010,1
N Acosta Baena,Cummings J L,2010,1
N Acosta Baena,R Development Core Team,2010,1
N Acosta Baena,Ferris S H,2010,1
N Acosta Baena,Franssen E,2010,1
N Acosta Baena,De Leon M J,2010,1
D A Salazar,Anderson T W,2010,1
D A Salazar,Dimitriadou E,2010,1
D A Salazar,Weingessel A,2010,1
D A Salazar,Furey T S,2010,1
D A Salazar,Bednarski D W,2010,1
D A Salazar,Gentleman R,2010,1
D A Salazar,Tamayo P,2010,2
D A Salazar,Mesirov J P,2010,2
D A Salazar,Coller H,2010,1
D A Salazar,Hosmer D W,2010,1
D A Salazar,Jiang W,2010,1
D A Salazar,Guo Z,2010,1
D A Salazar,Wang Q J,2010,2
D A Salazar,Lindgren C M,2010,1
D A Salazar,Eriksson K F,2010,1
D A Salazar,Sihag S,2010,1
D A Salazar,Laurila E,2010,1
D A Salazar,Xum Q,2010,1
D A Salazar,Bruce Ling X,2010,1
D A Salazar,Lessler Jonsson M,2010,1
J I Velez,Cornfield J,2010,1
J I Velez,Kerridge D,2010,1
J I Velez,Dimitriadou E,2010,1
J I Velez,Hornik K,2010,2
J I Velez,Fisher R A,2010,1
J I Velez,Bednarski D W,2010,1
J I Velez,Schummer M,2010,1
J I Velez,Haight F A,2010,2
J I Velez,Slonim D,2010,2
J I Velez,Mesirov J P,2010,4
J I Velez,Downing J R,2010,2
J I Velez,Lander E S,2010,4
J I Velez,Hosmer D W,2010,2
J I Velez,Lemeshow S,2010,2
J I Velez,Moser K L,2010,1
J I Velez,Carlsson E,2010,2
J I Velez,Laurila E,2010,2
J I Velez,Daly M J,2010,2
J I Velez,Patterson N,2010,2
J I Velez,Spiegelman B,2010,2
J I Velez,Decruyenaere J,2010,1
J I Velez,Wang G,2010,1
J C Salazar,Anderson T W,2010,1
J C Salazar,Asparoukhova K,2010,1
J C Salazar,Kerridge D,2010,1
J C Salazar,Dimitriadou E,2010,1
J C Salazar,Fisher R A,2010,1
J C Salazar,Cristianini N,2010,1
J C Salazar,Bednarski D W,2010,1
J C Salazar,Coller H,2010,1
J C Salazar,Caligiuri M,2010,1
J C Salazar,Bloomfield C D,2010,1
J C Salazar,Hernández F,2010,1
J C Salazar,J C Correa Morales,2010,1
J C Salazar,Lemeshow S,2010,1
J C Salazar,Karatzoglou A,2010,1
J C Salazar,Song H S,2010,1
J C Salazar,Jiang W,2010,1
J C Salazar,Moser K L,2010,1
J C Salazar,Guo Z,2010,1
J C Salazar,Muñoz A,2010,1
J C Salazar,Subramanian A,2010,1
J C Salazar,Sihag S,2010,1
J C Salazar,Noble W,2010,1
J C Salazar,Peng X,2010,1
J C Salazar,R Development Core Team,2010,1
J C Salazar,Shou T,2010,1
J C Salazar,Friedman J H,2010,1
J C Salazar,Benoit D,2010,1
J C Salazar,Wang G,2010,1
J C Salazar,Huan G,2010,1
J C Salazar,Westreich D,2010,1
E Davila,Acar E,2010,1
E Davila,Casella G,2010,1
E Davila,Berger R L,2010,1
E Davila,Vecchiato W,2010,1
E Davila,Hjort N L,2010,1
E Davila,Cox D R,2010,1
E Davila,Hinde J,2010,1
E Davila,Lauritzen S,2010,1
E Davila,Lambert P C,2010,1
E Davila,Mccullagh P M,2010,1
E Davila,Nelder J A,2010,1
E Davila,Mcculloch C E,2010,1
E Davila,Smith P,2010,1
E Davila,Heitjan F,2010,1
E Davila,Song P X K,2010,4
E Davila,Soubrier F,2010,1
L A Lopez P,Craiu R,2010,1
L A Lopez P,Cely B,2010,1
L A Lopez P,Vecchiato W,2010,1
L A Lopez P,Durrant W,2010,1
L A Lopez P,Dávila E,2010,2
L A Lopez P,Nešlehovà J,2010,1
L A Lopez P,Rémillard B,2010,1
L A Lopez P,Beaudoin D,2010,1
L A Lopez P,Simar L,2010,1
L A Lopez P,Li J,2010,1
L A Lopez P,Wong W K,2010,1
L A Lopez P,Fang Y,2010,1
L A Lopez P,Searly S,2010,1
L A Lopez P,Yuan Y,2010,2
L G Diaz Monroy,Luciano E,2010,1
L G Diaz Monroy,Claeskens G,2010,1
L G Diaz Monroy,Embrechts P,2010,1
L G Diaz Monroy,Fischer M,2010,1
L G Diaz Monroy,Rémillard B,2010,1
L G Diaz Monroy,Simar L,2010,1
L G Diaz Monroy,Demetrio C G B,2010,1
L G Diaz Monroy,Joe H,2010,1
L G Diaz Monroy,Kojadinovic I,2010,1
L G Diaz Monroy,Holmes M,2010,1
L G Diaz Monroy,Li J,2010,1
L G Diaz Monroy,V,2010,1
L G Diaz Monroy,Visvikis S,2010,1
L G Diaz Monroy,Tiret L,2010,1
F J Torres Aviles,Andia M,2010,1
F J Torres Aviles,Ferreccio C,2010,2
F J Torres Aviles,Mallows C L,2010,1
F J Torres Aviles,York J C,2010,1
F J Torres Aviles,Best N G,2010,3
F J Torres Aviles,Thomas A C,2010,1
F J Torres Aviles,Santos J L,2010,1
F J Torres Aviles,Damien P,2010,1
F J Torres Aviles,Kotz S,2010,1
F J Torres Aviles,Núñez L,2010,2
F J Torres Aviles,Díaz N,2010,2
F J Torres Aviles,Parent O,2010,1
F J Torres Aviles,Bernardinelli L,2010,1
F J Torres Aviles,Staines A Elliott P,2010,1
F J Torres Aviles,Roislien J,2010,1
F J Torres Aviles,Van Der Linde A,2010,1
G Icaza,Andreotti G,2010,1
G Icaza,Ferreccio C,2010,2
G Icaza,Andrews D F,2010,1
G Icaza,Besag J,2010,3
G Icaza,Clayton D G,2010,2
G Icaza,Walker S,2010,1
G Icaza,Harris P,2010,1
G Icaza,Margozzini P,2010,1
G Icaza,Venegas A,2010,1
G Icaza,Kano Y,2010,1
G Icaza,Bernardinelli L,2010,1
G Icaza,Staines A Elliott P,2010,1
G Icaza,Roislien J,2010,1
R B Arellano Valle,Mallows C L,2010,1
R B Arellano Valle,Cavenaghi S M,2010,1
R B Arellano Valle,Gelfand A E,2010,2
R B Arellano Valle,Mollié A,2010,2
R B Arellano Valle,Best N G,2010,3
R B Arellano Valle,Dorman J,2010,1
R B Arellano Valle,Harris P,2010,1
R B Arellano Valle,Gonzalez C,2010,1
R B Arellano Valle,Venegas A,2010,1
R B Arellano Valle,Stroud T W F,2010,1
R B Arellano Valle,Kano Y,2010,1
R B Arellano Valle,Lange K L,2010,1
R B Arellano Valle,Simoncelli E P,2010,1
R B Arellano Valle,Bernardinelli L,2010,1
R B Arellano Valle,Staines A Elliott P,2010,1
R B Arellano Valle,Omre O,2010,1
R B Arellano Valle,Torres-Avilés F,2010,1
R B Arellano Valle,Zellner A,2010,1
M Catalan,Bax L,2010,1
M Catalan,Bardsley W G,2010,1
M Catalan,Claros N,2010,1
M Catalan,Phillips A N,2010,1
M Catalan,Lau J W,2010,1
M Catalan,Greenland S,2010,1
M Catalan,Jiménez-Ruiz C,2010,1
M Catalan,Ramos A,2010,1
M Catalan,Donaldson A N A,2010,1
M Catalan,Hughes M D,2010,1
M Catalan,Rosenberg M,2010,1
M Catalan,Ives N J,2010,1
M Catalan,Lewis J L,2010,1
M Catalan,Sleight P,2010,1
M Catalan,Hu Z,2010,1
M P Galindo,Jones D A,2010,1
M P Galindo,Moons K G M,2010,1
M P Galindo,Sacks H S,2010,1
M P Galindo,Martín F J,2010,1
M P Galindo,Catalán M,2010,2
M P Galindo,Claros N,2010,1
M P Galindo,Douketis J D,2010,1
M P Galindo,Crowther M J,2010,1
M P Galindo,Terrin N,2010,1
M P Galindo,Greenland S,2010,1
M P Galindo,Salvan A,2010,1
M P Galindo,Donaldson A N A,2010,1
M P Galindo,Tetzlaff J Altman D J,2010,1
M P Galindo,Moores L,2010,1
M P Galindo,Vale C L,2010,1
M P Galindo,Oh I,2010,1
M P Galindo,Hayes T L,2010,1
M P Galindo,Thompson S G,2010,2
M P Galindo,Tort S,2010,1
J Martin,Abrams K R,2010,1
J Martin,Yu L M,2010,1
J Martin,Ikeda N,2010,1
J Martin,Chalmers T,2010,1
J Martin,Barrera I,2010,1
J Martin,Manterota C,2010,1
J Martin,Papaioannou S,2010,1
J Martin,Egger M,2010,1
J Martin,Terrin N,2010,1
J Martin,Barrueco M,2010,1
J Martin,Goldstein H,2010,2
J Martin,Jackson W,2010,1
J Martin,Hughes M D,2010,1
J Martin,Adams D C,2010,1
J Martin,Rosenthal R,2010,1
J Martin,Rydzewska L,2010,1
J Martin,Oh I,2010,1
J Martin,Stowe R L,2010,1
J Martin,Ives N J,2010,1
J Martin,Yusuf S,2010,1
J Martin,Lewis J L,2010,1
J Martin,Sleight P,2010,1
J Martin,Wang Q J,2010,1
V Leiva,Bax L,2010,1
V Leiva,Chalmers T,2010,1
V Leiva,Burguillo F J,2010,1
V Leiva,Barrera I,2010,1
V Leiva,Claros N,2010,1
V Leiva,Manterota C,2010,1
V Leiva,Cornelissen V A,2010,1
V Leiva,Lim W,2010,1
V Leiva,Engels E A,2010,1
V Leiva,Glass G V,2010,1
V Leiva,Hedges L V,2010,2
V Leiva,Jiménez-Ruiz C,2010,1
V Leiva,Parmar M K B,2010,1
V Leiva,Ernst E,2010,1
V Leiva,Moher D,2010,2
V Leiva,Rennie D,2010,1
O Bustos,Kotz S,2010,1
V Salinas,Kaplan E L,2010,1
P Perez,Stephens M A,2010,1
E Gonzalez,Saldaña-Zepeda D,2010,1
C A Martinez,Turlington L M,2010,1
