Autor_Art,Autor_Ref,Decada,Num_Ref
P N Pacheco D,Bro R,2000,1
P N Pacheco D,Johnson A,2000,1
P N Pacheco D,Mechelen I,2000,1
P N Pacheco D,Snyder C,2000,1
P N Pacheco D,Hattie J,2000,1
L Blanco Castañeda,Billingsley P,2000,3
L Blanco Castañeda,Doob J L,2000,2
L Blanco Castañeda,Vilenkin N V,2000,2
M Muñoz De Ozak,FernáNdez B,2000,3
M Muñoz De Ozak,Gelfand I M,2000,2
M Muñoz De Ozak,Vilenkin N V,2000,2
A V Garcia Luenco,ArtéS E,2000,7
A V Garcia Luenco,Sinha S K P,2000,1
L Blanco Castañeda,Aldous D J,2000,1
L Blanco Castañeda,Blanco Liliana,2000,1
M Muñoz De Ozak,Kadelka D,2000,1
M Muñoz De Ozak,Rodrigues E R,2000,2
M Muñoz De Ozak,LóPez Mimbela J A,2000,1
L M Gonzalez,Singer J D,2000,1
L M Gonzalez,Crowder M J,2000,1
L M Gonzalez,GonzáLez L M,2000,1
L A Lopez P,Andrade D F,2000,1
L A Lopez P,Singer J D,2000,1
L A Lopez P,Laird N M,2000,2
L A Lopez P,Liang K,2000,1
L A Lopez P,Zeger S L,2000,1
L A Lopez P,Timm N H,2000,1
L A Lopez P,Mieczkowski T,2000,1
L A Lopez P,Yates F,2000,2
I J Lagos,Shore H,2000,1
I J Lagos,Slifker J F,2000,1
I J Lagos,Vargas J A,2000,1
J A Vargas,Rinne H,2000,1
J A Vargas,Shapiro S S,2000,1
J A Vargas,Vargas J A,2000,1
J C Correa,Caffo B,2000,1
J C Correa,Anderson S,2000,1
J C Correa,Kotz S,2000,1
J C Correa,Mood A M,2000,1
J C Correa,Newcombe R G,2000,3
J C Correa,Wendell J P,2000,1
E Sierra,Agresti Alan,2000,2
E Sierra,Brown L D,2000,1
E Sierra,Dasgupta A,2000,1
E Sierra,Gart J J,2000,1
E Sierra,Hauck W W,2000,1
E Sierra,Kotz S,2000,1
E Sierra,Schmee J,2000,1
E Sierra,Seber G A F,2000,1
N Rodriguez M,Rodríguez N,2000,1
N Rodriguez M,Dowdy S,2000,1
N Rodriguez M,Echeverría B,2000,1
N Rodriguez M,Eltson R C,2000,1
N Rodriguez M,Demets D L,2000,1
N Rodriguez M,Kupper L L,2000,1
N Rodriguez M,Morgenstern H,2000,1
N Rodriguez M,Pagano M,2000,1
N Rodriguez M,Rodíguez N,2000,1
N Rodriguez M,Shott S,2000,1
R Ruiz C,Best N G,2000,2
R Ruiz C,Young L,2000,1
R Ruiz C,Geweke J,2000,1
R Ruiz C,Welch P D,2000,1
R Ruiz C,Liebhold A,2000,1
R Ruiz C,Hohn M,2000,1
R Ruiz C,Ticehurst M,2000,1
R Ruiz C,Campbell R,2000,1
R Ruiz C,Moran P,2000,1
R Ruiz C,Nestel D,2000,1
R Ruiz C,Raftery A E,2000,1
R Ruiz C,O’Keeffe L,2000,1
R Ruiz C,Spiegelhalter D J,2000,1
R Ruiz C,Taylor L,2000,1
C G B Demetrio,Besag J,2000,2
C G B Demetrio,Cowles M K,2000,1
C G B Demetrio,Vines K,2000,1
C G B Demetrio,Darnell J,2000,1
C G B Demetrio,Meinke L,2000,1
C G B Demetrio,Gelfand A E,2000,1
C G B Demetrio,Ghosh S,2000,1
C G B Demetrio,Le Pelley R,2000,1
C G B Demetrio,Benzon G,2000,1
C G B Demetrio,Lloyd M,2000,1
C G B Demetrio,Morisita M,2000,1
C G B Demetrio,Klein M,2000,1
C G B Demetrio,Perry J J,2000,1
C G B Demetrio,Rubin D B,2000,1
R M Assuncao,Darnell J,2000,1
R M Assuncao,Meinke L,2000,1
R M Assuncao,Gotway C A,2000,1
R M Assuncao,David F N,2000,1
R M Assuncao,Heidelberger P,2000,1
R M Assuncao,Le Pelley R,2000,1
R M Assuncao,Elkinton J,2000,1
R M Assuncao,Ticehurst M,2000,1
R M Assuncao,Benzon G,2000,1
R M Assuncao,Lloyd M,2000,1
R M Assuncao,Perry J J,2000,1
R M Assuncao,Rubin D B,2000,1
R M Assuncao,Prakasam C,2000,1
R M Assuncao,Williams L,2000,1
R A Leandro,Best N G,2000,2
R A Leandro,Bliss C I,2000,1
R A Leandro,David F N,2000,1
R A Leandro,Heidelberger P,2000,1
R A Leandro,Klein M,2000,1
R A Leandro,Lewis S L,2000,1
R A Leandro,Rubin D B,2000,1
R A Leandro,Taylor L,2000,1
R A Leandro,Mccarthy J L,2000,1
S Yanez C,Yang Q,2000,1
R A Granada G,Meeker W Q,2000,2
R A Granada G,Escobar L A,2000,1
R A Granada G,Nelson W B,2000,1
R A Granada G,Pinheiro J C,2000,1
M C Jaramillo E,Lawless J F,2000,1
M C Jaramillo E,Lu J C,2000,1
M C Jaramillo E,Park J,2000,1
M C Jaramillo E,Takeda E,2000,1
J E Valdes Castro,Belzunce F,2000,1
J E Valdes Castro,Franco M,2000,1
J E Valdes Castro,El Neweihi E,2000,2
J E Valdes Castro,Proschan F,2000,2
J E Valdes Castro,Singh H P,2000,2
J A Villegas Gutierrez,Belzunce F,2000,1
J A Villegas Gutierrez,Franco M,2000,1
J A Villegas Gutierrez,El Neweihi E,2000,2
J A Villegas Gutierrez,Mi J,2000,1
J A Villegas Gutierrez,Shaked M,2000,1
J A Villegas Gutierrez,Shanthikumar J G,2000,1
N Rodriguez N,Bickel P J,2000,1
N Rodriguez N,Bosq D,2000,1
N Rodriguez N,Hardle W,2000,2
N Rodriguez N,Deheuvels P,2000,1
N Rodriguez N,Gijbels I,2000,1
N Rodriguez N,Gannoun A,2000,3
N Rodriguez N,Gasser T,2000,1
N Rodriguez N,Györfi L,2000,2
N Rodriguez N,HäRdle W,2000,3
N Rodriguez N,Sarda P,2000,1
N Rodriguez N,Wherly T E,2000,1
N Rodriguez N,Friedman J H,2000,2
N Rodriguez N,Melo V,2000,1
N Rodriguez N,Liu R Y,2000,1
N Rodriguez N,Singh,2000,1
N Rodriguez N,NúÑEz J,2000,1
N Rodriguez N,Tran,2000,1
P Siado C,Bickel P J,2000,1
P Siado C,Hassani S,2000,1
P Siado C,Deheuvels P,2000,1
P Siado C,Muller H G,2000,1
P Siado C,Gooijer J G D,2000,2
P Siado C,Kohler M,2000,1
P Siado C,Rozanov Y,2000,1
P Siado C,Johnston G J,2000,1
P Siado C,Misas M A,2000,2
P Siado C,LóPez E,2000,1
P Siado C,Jiménez J A,2000,1
P Siado C,Pham T D,2000,1
P Siado C,Prietsley M B,2000,1
R Ospina Martinez,Pierce D A,2000,1
R Ospina Martinez,Gershenfeld N A,2000,1
R Ospina Martinez,Goldberg D E,2000,1
R Ospina Martinez,Palmer R H,2000,1
R Ospina Martinez,Mcleod A I,2000,1
R Ospina Martinez,Pi H,2000,1
R Ospina Martinez,Rumelhart D E,2000,2
B Zamprogno,Jenkins G M,2000,1
B Zamprogno,Broomhead D S,2000,1
B Zamprogno,Lowe D,2000,1
B Zamprogno,Mcrae J E,2000,1
B Zamprogno,Goldberg D E,2000,1
B Zamprogno,Kahan W,2000,1
B Zamprogno,Krogh A,2000,1
B Zamprogno,Hunter A,2000,1
B Zamprogno,Kennedy L,2000,1
B Zamprogno,Henry J,2000,1
B Zamprogno,Ljung G M,2000,1
B Zamprogno,Mills J A,2000,1
B Zamprogno,Pi H,2000,1
B Zamprogno,Rumelhart D E,2000,2
B Zamprogno,Huberman B A,2000,1
S Yañez C,Alt F B,2000,1
S Yañez C,Smith N D,2000,1
S Yañez C,Kosinski A S,2000,1
S Yañez C,Maronna R A,2000,1
S Yañez C,Zomeren B C V,2000,1
S Yañez C,Sullivan J H,2000,1
Vargas J A,Becker C,2000,1
Vargas J A,Gather U,2000,2
Vargas J A,Hilker T,2000,1
Vargas J A,Rousseeuw P J,2000,3
Vargas J A,Stahel W A,2000,1
Vargas J A,Kosinski A S,2000,1
Vargas J A,Rocke D M,2000,2
Vargas J A,Zomeren B C V,2000,1
N Gonzalez A,Smith N D,2000,1
N Gonzalez A,Stahel W A,2000,1
N Gonzalez A,Kosinski A S,2000,1
N Gonzalez A,Woodruff D L,2000,2
N Gonzalez A,Zomeren B C V,2000,1
N Gonzalez A,Vargas J A,2000,1
E Cepeda Cuervo,Wilson M,2000,1
E Cepeda Cuervo,Anddersen E B,2000,1
E Cepeda Cuervo,Lieberman M,2000,1
E Cepeda Cuervo,Fisher G H,2000,1
E Cepeda Cuervo,Mark W,2000,1
E Cepeda Cuervo,Raymond J A,2000,1
E Cepeda Cuervo,Zwinderman A H,2000,1
J M Pelaez Andrade,Birnbaun A,2000,1
J M Pelaez Andrade,Mark W,2000,1
H Knolle,Bailey N T J,2000,1
J Pages,Hotelling H,2000,1
J Pages,Vallis L V,2000,1
S E Melo Martinez,Seely J A,2000,1
S E Melo Martinez,Hocking R R,2000,3
S E Melo Martinez,LóPez L A,2000,2
S E Melo Martinez,Hackney O P,2000,1
